epoch,brotli_size,soup_size,higher_entropy
52993,482478,8192,0.108343
53057,483221,8192,0.094712
53121,482862,8192,0.097309
53185,482489,8192,0.096386
53249,482265,8192,0.103194
53313,483149,8192,0.100388
53377,481789,8192,0.124768
53441,481477,8192,0.123165
53505,481549,8192,0.124628
53569,481062,8192,0.126190
53633,481252,8192,0.125023
53697,481610,8192,0.125299
53761,481847,8192,0.122086
53825,482202,8192,0.120039
53889,482944,8192,0.118154
53953,483140,8192,0.111179
54017,483100,8192,0.118802
54081,483454,8192,0.113905
54145,483368,8192,0.116926
54209,483250,8192,0.124456
54273,483876,8192,0.109360
54337,483365,8192,0.119697
54401,483623,8192,0.112371
54465,483489,8192,0.116913
54529,483366,8192,0.116322
54593,483318,8192,0.116743
54657,484084,8192,0.115022
54721,485023,8192,0.102809
54785,483635,8192,0.123964
54849,482624,8192,0.140905
54913,481220,8192,0.156849
54977,480392,8192,0.173740
55041,479686,8192,0.174286
55105,478844,8192,0.183303
55169,477821,8192,0.183982
55233,478741,8192,0.169322
55297,479238,8192,0.158601
55361,479893,8192,0.137765
55425,480184,8192,0.134984
55489,480813,8192,0.125415
55553,481848,8192,0.122435
55617,481483,8192,0.116602
55681,482142,8192,0.109707
55745,481377,8192,0.116536
55809,480943,8192,0.115299
55873,481019,8192,0.124803
55937,480728,8192,0.126771
56001,481293,8192,0.120351
56065,481575,8192,0.118763
56129,481185,8192,0.129547
56193,482338,8192,0.118497
56257,482825,8192,0.117506
56321,482141,8192,0.127269
56385,482087,8192,0.127318
56449,482237,8192,0.131015
56513,481971,8192,0.138096
56577,481754,8192,0.140548
56641,481883,8192,0.144296
56705,483232,8192,0.139302
56769,483209,8192,0.139553
56833,483656,8192,0.141585
56897,482859,8192,0.146825
56961,483684,8192,0.134495
57025,483392,8192,0.136609
57089,483099,8192,0.136372
57153,483927,8192,0.128541
57217,484797,8192,0.119051
57281,484841,8192,0.113190
57345,483803,8192,0.122076
57409,484973,8192,0.114224
57473,484476,8192,0.116310
57537,485142,8192,0.117759
57601,485310,8192,0.117646
57665,485985,8192,0.115359
57729,486172,8192,0.110197
57793,486375,8192,0.110223
57857,486233,8192,0.111904
57921,486254,8192,0.114137
57985,486464,8192,0.118794
58049,485809,8192,0.125847
58113,486003,8192,0.124062
58177,485855,8192,0.122768
58241,485889,8192,0.131455
58305,485278,8192,0.138839
58369,485500,8192,0.134309
58433,485527,8192,0.135959
58497,486092,8192,0.130579
58561,485284,8192,0.136646
58625,485796,8192,0.132989
58689,485774,8192,0.136149
58753,486242,8192,0.130029
58817,485673,8192,0.138568
58881,486034,8192,0.138092
58945,483898,8192,0.162034
59009,484399,8192,0.159521
59073,484676,8192,0.156998
59137,484684,8192,0.159496
59201,484493,8192,0.164875
59265,484969,8192,0.158966
59329,484208,8192,0.168404
59393,484774,8192,0.162298
59457,483785,8192,0.168762
59521,484430,8192,0.157235
59585,485027,8192,0.149992
59649,484936,8192,0.153752
59713,485007,8192,0.148175
59777,485280,8192,0.145967
59841,485993,8192,0.133549
59905,485181,8192,0.147651
59969,485631,8192,0.144093
60033,485890,8192,0.140565
60097,485366,8192,0.143739
60161,484989,8192,0.142002
60225,485234,8192,0.137322
60289,485477,8192,0.130397
60353,485597,8192,0.133245
60417,486205,8192,0.128660
60481,486687,8192,0.122232
60545,487485,8192,0.118988
60609,486452,8192,0.134846
60673,486552,8192,0.131234
60737,486129,8192,0.129198
60801,484611,8192,0.141335
60865,484221,8192,0.139428
60929,483708,8192,0.142484
60993,484854,8192,0.129796
61057,485077,8192,0.125529
61121,485620,8192,0.118417
61185,485370,8192,0.115656
61249,485866,8192,0.115362
61313,485955,8192,0.112711
61377,487273,8192,0.094330
61441,488218,8192,0.089505
61505,488198,8192,0.096192
61569,487714,8192,0.100722
61633,486607,8192,0.117968
61697,484787,8192,0.130484
61761,484443,8192,0.133183
61825,485020,8192,0.126458
61889,483778,8192,0.141236
61953,484259,8192,0.137716
62017,483829,8192,0.138307
62081,483950,8192,0.140461
62145,484658,8192,0.132739
62209,485082,8192,0.128831
62273,484459,8192,0.134570
62337,484207,8192,0.136758
62401,483587,8192,0.144283
62465,484402,8192,0.137740
62529,484132,8192,0.135528
62593,484003,8192,0.134612
62657,484057,8192,0.133202
62721,484594,8192,0.119134
62785,483983,8192,0.125177
62849,483822,8192,0.126588
62913,484393,8192,0.119156
62977,484529,8192,0.113092
63041,484387,8192,0.115230
63105,484921,8192,0.107158
63169,484819,8192,0.106073
63233,485208,8192,0.106056
63297,484301,8192,0.117493
